Stage 3: the arms, timed. R3, R4, R9 and R2's floor.

commit:      d281acf6ae3d78510d62c68f969ff16fe52e0768 (+ this slice)
build:       arm a, target sources, dotnet build -c Release, NO AkCount:
             the per-site counting store is out of this build.
awk: 1: unexpected character '\'
machine:     4 vCPU Intel(R) Xeon(R) Processor @ 2.80GHz,  GiB, 6.18.44-fc-v37
sdk:         8.0.131
content set: ASCII, which is what every id in the real schema is. The other two
             sets are stage5-content-sets.log and they MOVE these ratios:
             the managed encode advantage narrows from 0.31-0.43 of the
             incumbent on ascii to 0.45-0.61 on wide. A number here without
             that one beside it is half a number (design/SHAPES.md).

R13 calibration, taken on THIS container before anything below:
  the Rust slice's crossing benchmark measures 1.8 ns forward and 2.1 ns
  forward-plus-reverse here, five runs, medians 1.8/1.8/1.8/1.8/1.8 and
  2.1/2.1/2.1/2.1/2.1 (ffi/logs/csharp/calibration-rust-crossing.log). That
  reproduces the Rust slice's own container to the digit, so an absolute below
  is comparable with a Rust slice absolute -- a fact that had to be MEASURED
  and could not have been assumed, which is what R13 is for.

THREE PROCESSES. A ratio is formed inside one process (R4); the spread across
the three is what says whether the ratio travels. Absolutes do not.

############################## process 1 ##############################
# harness: bench
# utc:                 2026-09-19T07:39:05Z
# runtime:             .NET 8.0.31
# os:                  Ubuntu 24.04.4 LTS
# arch:                X64
# processors:          4
# Google.Protobuf:     3.28.3.0
# server GC:           False
# latency mode:        Interactive
# tiered compilation:  on (default)
# tiered PGO:          on (default)
# R2R:                 on (default)
# floor sources:       no
# facade TFM:          net8.0
# transcoder:          Encoding.UTF8.GetBytes(ReadOnlySpan<char>, Span<byte>) -- net8.0
# length-prefix sites: 72
#
# R13 calibration on THIS machine: the Rust slice's crossing benchmark
#   measures 1.8 ns forward and 2.1 ns forward-plus-reverse here
#   (ffi/logs/csharp/calibration-rust-crossing.log). Every absolute
#   below is also quotable as a multiple of that 1.8 ns.
#
# 128 cases, 7 rounds, interleaved: every case runs once before any runs twice
# warmup budget 40 ms per case, twice, with a sleep between so the tiering
#   background thread can promote. R9: tiering and PGO stay ON.

payload  dir     arm              reps      min ns      med ns      max ns   ns/elem   alloc B/op   /gp-writeto  /gp-tba
------------------------------------------------------------------------------------------------------------------------------------
P1.1     encode  gp-tobytearray   20899      1918.4      1948.5      3032.3    487.13          952   1.197        1.000
P1.1     encode  gp-writeto       24698      1624.7      1627.5      2285.7    406.88            0   1.000        0.835
P1.1     encode  managed          74899       705.4       706.7       723.6    176.69            0   0.434        0.363
P1.1     encode  managed-2pass    28982      1392.4      1399.3      1465.0    349.82            0   0.860        0.718
P1.1     encode  memcpy floor    1703298        23.3        23.5        23.7      5.88            0   0.014        0.012

P1.1     decode  gp-parse         12832      2985.2      3059.6      3099.8    764.90         2888   1.000        1.000
P1.1     decode  managed-parse    37329      1940.8      2000.2      2277.7    500.05         2624   0.654        0.654
P1.1     decode  memcpy floor    3038277        23.2        23.3        23.8      5.84            0   0.008        0.008

P1.2     encode  gp-tobytearray      65    562406.2    588358.5    785130.8    588.36       218216   1.212        1.000
P1.2     encode  gp-writeto         147    478141.5    485498.0    542647.6    485.50            0   1.000        0.825
P1.2     encode  managed            147    206537.4    209555.8    221341.5    209.56            0   0.432        0.356
P1.2     encode  managed-2pass       95    448670.5    455131.6    520561.1    455.13            0   0.937        0.774
P1.2     encode  memcpy floor      8283      9493.2      9973.4     10543.8      9.97            0   0.021        0.017

P1.2     decode  gp-parse            50    777034.0    799014.0    917724.0    799.01       697928   1.000        1.000
P1.2     decode  managed-parse       73    515249.3    554327.4    624591.8    554.33       641976   0.694        0.694
P1.2     decode  memcpy floor      7435      9578.0      9714.6     10278.0      9.71            0   0.012        0.012

P1.3     encode  gp-tobytearray    6087     12771.9     12900.9     12961.8     43.00          696   1.031        1.000
P1.3     encode  gp-writeto        6069     12474.7     12519.0     12692.6     41.73            0   1.000        0.970
P1.3     encode  managed          14194      2775.5      2788.4      3106.0      9.29            0   0.223        0.216
P1.3     encode  managed-2pass    10054      3904.7      3920.4      4070.8     13.07            0   0.313        0.304
P1.3     encode  memcpy floor    3975229        19.5        19.9        29.8      0.07            0   0.002        0.002

P1.3     decode  gp-parse          2521     28533.2     30073.5     31095.2    100.24        39568   1.000        1.000
P1.3     decode  managed-parse     2831     11746.0     14745.2     15721.8     49.15        37216   0.490        0.490
P1.3     decode  memcpy floor    3906165        19.2        20.1        20.9      0.07            0   0.001        0.001

P2.1     encode  gp-tobytearray   10970      3615.1      3728.5      4051.0   3728.52         1184   1.135        1.000
P2.1     encode  gp-writeto       12228      3266.6      3284.0      3411.5   3283.98           56   1.000        0.881
P2.1     encode  managed          74899       920.7       935.0      1003.0    934.97            0   0.285        0.251
P2.1     encode  managed-2pass    19773      2025.8      2040.3      2209.9   2040.32            0   0.621        0.547
P2.1     encode  memcpy floor    3052751        25.8        26.3        30.8     26.26            0   0.008        0.007

P2.1     decode  gp-parse          9363      5060.1      5209.4      5824.4   5209.43         4848   1.000        1.000
P2.1     decode  managed-parse    21927      3310.8      3462.9      3859.5   3462.91         4408   0.665        0.665
P2.1     decode  memcpy floor    3111807        25.5        25.6        26.4     25.55            0   0.005        0.005

P2.2     encode  gp-tobytearray      19   2361473.7   2487878.9   2804115.8   4975.76       568512   1.160        1.000
P2.2     encode  gp-writeto          19   2121531.6   2144205.3   2162247.4   4288.41        28000   1.000        0.862
P2.2     encode  managed             67    606007.5    607897.0    624526.9   1215.79            0   0.284        0.244
P2.2     encode  managed-2pass       27   1492222.2   1503837.0   1552844.4   3007.67            0   0.701        0.604
P2.2     encode  memcpy floor      3671     21047.8     21200.1     23184.5     42.40            0   0.010        0.009

P2.2     decode  gp-parse            19   2888484.2   3090863.2   3321463.2   6181.73      2316528   1.000        1.000
P2.2     decode  managed-parse       19   1837589.5   2112115.8   2260926.3   4224.23      2117904   0.683        0.683
P2.2     decode  memcpy floor      3777     20803.7     22114.9     22971.2     44.23            0   0.007        0.007

P2.3     encode  gp-tobytearray      28   1425717.9   1544532.1   1808282.1  12356.26       654112   1.190        1.000
P2.3     encode  gp-writeto          32   1279656.2   1297803.1   1489606.2  10382.42         7000   1.000        0.840
P2.3     encode  managed            145    477319.3    482494.5    508552.4   3859.96            0   0.372        0.312
P2.3     encode  managed-2pass       73   1001443.8   1021706.8   1080368.5   8173.65            0   0.787        0.661
P2.3     encode  memcpy floor      2723     29840.8     30210.4     33129.9    241.68            0   0.023        0.020

P2.3     decode  gp-parse            39   2116738.5   2349964.1   2427217.9  18799.71      2091104   1.000        1.000
P2.3     decode  managed-parse       45   1673828.9   1785797.8   1859084.4  14286.38      2085480   0.760        0.760
P2.3     decode  memcpy floor      2701     29255.4     30354.8     31553.1    242.84            0   0.013        0.013

P2.4     encode  gp-tobytearray      45   1836944.4   1925557.8   2696971.1  24069.47       984040   1.201        1.000
P2.4     encode  gp-writeto          26   1589211.5   1603576.9   1656303.8  20044.71         4480   1.000        0.833
P2.4     encode  managed             59    671713.6    676259.3    753396.6   8453.24            0   0.422        0.351
P2.4     encode  managed-2pass       32   1262868.8   1265150.0   1300550.0  15814.38            0   0.789        0.657
P2.4     encode  memcpy floor      1171     51128.7     54521.8     56707.9    681.52            0   0.034        0.028

P2.4     decode  gp-parse            19   2842926.3   2927836.8   3339310.5  36597.96      3283352   1.000        1.000
P2.4     decode  managed-parse       19   1918778.9   2276094.7   2527352.6  28451.18      3265688   0.777        0.777
P2.4     decode  memcpy floor      1171     51268.5     54124.3     59400.8    676.55            0   0.018        0.018

P2.5     encode  gp-tobytearray    1149     66966.3     68347.3     74027.9   3417.37        20840   1.087        1.000
P2.5     encode  gp-writeto        1171     61901.5     62864.3     66424.9   3143.22         1120   1.000        0.920
P2.5     encode  managed           2319     17280.4     17348.8     17627.1    867.44            0   0.276        0.254
P2.5     encode  managed-2pass     1171     39659.9     39814.6     40449.8   1990.73            0   0.633        0.583
P2.5     encode  memcpy floor     74899       695.9       735.1       787.2     36.76            0   0.012        0.011

P2.5     decode  gp-parse           813     94498.3     96917.5     98809.0   4845.87        86856   1.000        1.000
P2.5     decode  managed-parse     1171     61973.3     64526.8     67245.3   3226.34        79704   0.666        0.666
P2.5     decode  memcpy floor     74899       704.8       752.8       794.4     37.64            0   0.008        0.008

P3.1     encode  gp-tobytearray    1171     44298.5     44706.8     46434.8    223.53        12192   1.219        1.000
P3.1     encode  gp-writeto        1171     36276.8     36664.5     36991.1    183.32            0   1.000        0.820
P3.1     encode  managed           6129     12977.6     13010.2     13240.9     65.05            0   0.355        0.291
P3.1     encode  managed-2pass     3463     23020.8     23136.3     24348.9    115.68            0   0.631        0.518
P3.1     encode  memcpy floor    599187       126.1       133.5       138.7      0.67            0   0.004        0.003

P3.1     decode  gp-parse          1171     59406.4     61779.8     68361.1    308.90        49664   1.000        1.000
P3.1     decode  managed-parse     1171     37464.8     41034.8     43531.8    205.17        51952   0.664        0.664
P3.1     decode  memcpy floor    599187       128.8       131.2       138.7      0.66            0   0.002        0.002

P4.1     encode  gp-tobytearray     147    483370.7    490987.8    496682.3   2454.94        76616   1.045        1.000
P4.1     encode  gp-writeto         147    465130.6    469727.2    487533.3   2348.64        11200   1.000        0.957
P4.1     encode  managed            715    108390.8    108869.2    113319.2    544.35            0   0.232        0.222
P4.1     encode  managed-2pass      147    277619.7    278492.5    292539.5   1392.46            0   0.593        0.567
P4.1     encode  memcpy floor     27549      2437.4      2646.4      2986.2     13.23            0   0.006        0.005

P4.1     decode  gp-parse           147    532929.9    539521.1    603358.5   2697.61       392504   1.000        1.000
P4.1     decode  managed-parse      147    336707.5    356744.9    382017.7   1783.72       357352   0.661        0.661
P4.1     decode  memcpy floor     27355      2272.8      2561.0      2823.4     12.81            0   0.005        0.005

P5.1     encode  gp-tobytearray  361375       207.6       218.7       239.7    218.72          208   1.596        1.000
P5.1     encode  gp-writeto      296691       136.3       137.0       144.2    137.03            0   1.000        0.627
P5.1     encode  managed         599187        68.1        68.6        69.7     68.58            0   0.500        0.314
P5.1     encode  managed-2pass   599187       108.1       109.0       120.7    109.03            0   0.796        0.499
P5.1     encode  memcpy floor    4793491        13.4        13.8        16.1     13.77            0   0.100        0.063

P5.1     decode  gp-parse        257973       299.0       318.4       355.7    318.44          368   1.000        1.000
P5.1     decode  managed-parse   405283       192.4       200.9       210.5    200.88          320   0.631        0.631
P5.1     decode  memcpy floor    4793491        13.0        13.1        14.7     13.10            0   0.041        0.041

P5.2     encode  gp-tobytearray    5809      9372.5     10369.1     12247.4  10369.08        65712   3.533        1.000
P5.2     encode  gp-writeto       25767      2800.2      2935.1      3205.4   2935.09            0   1.000        0.283
P5.2     encode  managed          26575      2567.0      2795.5      3156.3   2795.46            0   0.952        0.270
P5.2     encode  managed-2pass    26613      2779.9      3062.6      3150.9   3062.63            0   1.043        0.295
P5.2     encode  memcpy floor     27547      2676.9      2829.3      3043.5   2829.30            0   0.964        0.273

