Stage 8: the core-ffi arm. M1, encode and decode, through the real C ABI.

commit:    1f439b1353cdaa6562097c70699b82941c815af3 (+ this slice)
core:      ffi/poc/rust/target/release/libak_core.so, the SAME artifact the Rust
           slice loads. Not a second core: one native core with N bindings is the
           proposal, so the C# arm binds to it rather than reimplementing it.
binding:   generated, ffi/poc/csharp/gen/cs_abi.py + cs_coreffi.py
linkage:   shared library, P/Invoke via LibraryImport, reverse calls via
           [UnmanagedCallersOnly] with the abort guard (R7: linkage is part of
           the mechanism and a C++ host that statically links pays a direct call)
strings:   STAGED as UTF-8 and handed over as data with tc = ak_tc_bytes(), which
           is a function pointer INTO THE CORE and crosses nothing. The alternative
           ak_str offers, a host transcoder callback, is one reverse crossing per
           string: 5 per ResultRaw, 5,000 for P1.2, at .NET's 7.5-12 ns. Not built.
R13:       the Rust crossing benchmark measures 1.8 ns forward on this container.

SCOPE. M1 only. ResultRaw is a leaf, which is the simplest end-to-end path and
the one that isolates the interface cost from the batching predicate refusing
anything. M2 to M7 are NOT built; TaskDetailed is not a leaf and that is where
the predicate starts refusing, which is a different measurement.

# harness: coreffi
# utc:                 2026-09-19T18:30:59Z
# runtime:             .NET 8.0.31
# os:                  Ubuntu 24.04.4 LTS
# arch:                X64
# processors:          4
# Google.Protobuf:     3.28.3.0
# server GC:           False
# latency mode:        Interactive
# tiered compilation:  on (default)
# tiered PGO:          on (default)
# R2R:                 on (default)
# floor sources:       no
# facade TFM:          net8.0
# transcoder:          Encoding.UTF8.GetBytes(ReadOnlySpan<char>, Span<byte>) -- net8.0
# length-prefix sites: 72
#
# R13 calibration on THIS machine: the Rust slice's crossing benchmark
#   measures 1.8 ns forward and 2.1 ns forward-plus-reverse here
#   (ffi/logs/csharp/calibration-rust-crossing.log). Every absolute
#   below is also quotable as a multiple of that 1.8 ns.
#
Layout agreement (ABI v1 obligation 12.3, as far as it goes here):
  ok: 8 structs match the Rust build; core ak_abi_version()=1

M1 through the C ABI, against the validated manifest. Encode is byte
identity; decode is a re-encode to the same bytes AND a field-by-field
comparison against the graph the builder made, because a re-encode alone
passes a decoder that drops a field the encoder also omits.

payload  elements    bytes  encode  decode  value  fwd  rev  note
------------------------------------------------------------------------------------
P1.1            4      858  ok      ok      ok       5    4  
P1.2         1000   218121  ok      ok      ok       5    4  
P1.3          300      605  ok      ok      ok       5    4  the absent path

Reading the crossing columns.
  fwd/rev are counted by the HOST, which is the half R5 asks a host for.
  They are CONSTANT in the element count, in BOTH directions, whether the
  payload carries 4 elements or 1,000. The 5 and 4 cover an encode, a decode
  and a re-encode:
    encode     2 forward (ak_encode_*, ak_elem_*)  1 reverse (loop_results)
    decode     1 forward (ak_decode_*)             2 reverse (apply, add_results)
  ResultRaw is a LEAF, so encode hands the whole run over in one ak_elem_*
  call and decode gets it back in one add_results. That is ABI v1's batching
  predicate doing the thing it exists for, on .NET.

0 failure(s)

############## timings, three processes ##############
---------- process 1 ----------
# harness: bench
# utc:                 2026-09-19T18:30:59Z
# runtime:             .NET 8.0.31
# os:                  Ubuntu 24.04.4 LTS
# arch:                X64
# processors:          4
# Google.Protobuf:     3.28.3.0
# server GC:           False
# latency mode:        Interactive
# tiered compilation:  on (default)
# tiered PGO:          on (default)
# R2R:                 on (default)
# floor sources:       no
# facade TFM:          net8.0
# transcoder:          Encoding.UTF8.GetBytes(ReadOnlySpan<char>, Span<byte>) -- net8.0
# length-prefix sites: 72
#
# R13 calibration on THIS machine: the Rust slice's crossing benchmark
#   measures 1.8 ns forward and 2.1 ns forward-plus-reverse here
#   (ffi/logs/csharp/calibration-rust-crossing.log). Every absolute
#   below is also quotable as a multiple of that 1.8 ns.
#
# 42 cases, 7 rounds, interleaved: every case runs once before any runs twice
# warmup budget 40 ms per case, twice, with a sleep between so the tiering
#   background thread can promote. R9: tiering and PGO stay ON.

payload  dir     arm              reps      min ns      med ns      max ns   ns/elem   alloc B/op   /gp-writeto  /gp-tba
------------------------------------------------------------------------------------------------------------------------------------
P1.1     encode  gp-tobytearray   19916      1875.5      1908.1      1940.7    477.02          952   1.211        1.000
P1.1     encode  gp-writeto       24872      1559.3      1575.4      1582.9    393.85            0   1.000        0.826
P1.1     encode  gp-bufferwriter  52555      1229.2      1232.1      1298.6    308.03            0   0.782        0.646
P1.1     encode  gp-marshaller    25032      1542.4      1576.0      1625.6    394.01            0   1.000        0.826
P1.1     encode  core-ffi         64691       977.5       994.2      1006.0    248.56            0   0.631        0.521
P1.1     encode  managed          74899       734.5       742.9       764.1    185.72            0   0.471        0.389
P1.1     encode  managed-2pass    28841      1415.4      1424.8      1429.5    356.20            0   0.904        0.747
P1.1     encode  memcpy floor    3210127        24.4        24.6        24.9      6.16            0   0.016        0.013

P1.1     decode  core-ffi         36009      2019.5      2096.5      2161.0    524.12         2624   0.748        0.748
P1.1     decode  gp-parse-seq     13968      2761.7      2802.1      2861.6    700.53         2888   1.000        1.000
P1.1     decode  gp-parse-seg     14253      2667.5      2750.5      2931.7    687.64         2888   0.982        0.982
P1.1     decode  gp-parse         13961      2648.2      2680.8      2794.7    670.19         2888   0.957        0.957
P1.1     decode  managed-parse    38381      1995.7      2062.6      2091.8    515.64         2624   0.736        0.736
P1.1     decode  memcpy floor    3251587        24.6        25.0        25.9      6.24            0   0.009        0.009

P1.2     encode  gp-tobytearray     109    536957.8    563028.4    591623.9    563.03       218515   1.191        1.000
P1.2     encode  gp-writeto         147    463477.6    466594.6    473712.2    466.59            0   0.987        0.829
P1.2     encode  gp-bufferwriter    147    370234.7    376044.2    389575.5    376.04            0   0.795        0.668
P1.2     encode  gp-marshaller      147    461249.7    472736.7    491424.5    472.74            0   1.000        0.840
P1.2     encode  core-ffi           164    240764.6    244104.9    246272.0    244.10            0   0.516        0.434
P1.2     encode  managed            385    206685.5    209687.0    218464.2    209.69            0   0.444        0.372
P1.2     encode  managed-2pass      147    443809.5    446260.5    449217.7    446.26            0   0.944        0.793
P1.2     encode  memcpy floor      7905      8458.9      8769.0      9632.8      8.77            0   0.019        0.016

P1.2     decode  core-ffi           145    494915.2    501610.3    533775.2    501.61       641976   0.651        0.651
P1.2     decode  gp-parse-seq        57    739203.5    770803.5    860501.8    770.80       697928   1.000        1.000
P1.2     decode  gp-parse-seg        77    727670.1    742941.6    777635.1    742.94       697928   0.964        0.964
P1.2     decode  gp-parse            99    733800.0    759838.4    796035.4    759.84       697928   0.986        0.986
P1.2     decode  managed-parse       73    558042.5    573298.6    687354.8    573.30       641976   0.744        0.744
P1.2     decode  memcpy floor      8267      8751.4      9311.9      9479.7      9.31            0   0.012        0.012

P1.3     encode  gp-tobytearray    6563     12124.0     12265.5     12711.5     40.89          696   1.014        1.000
P1.3     encode  gp-writeto        3334     11869.5     11951.9     12455.9     39.84            0   0.988        0.974
P1.3     encode  gp-bufferwriter   9109      8674.6      8725.5      8757.4     29.09            0   0.722        0.711
P1.3     encode  gp-marshaller     6613     12041.3     12091.2     12358.2     40.30            0   1.000        0.986
P1.3     encode  core-ffi          9363      7404.3      7436.2      7507.9     24.79            0   0.615        0.606
P1.3     encode  managed          12798      3114.8      3157.8      3440.1     10.53            0   0.261        0.257
P1.3     encode  managed-2pass    10215      3932.1      3973.0      4263.1     13.24            0   0.329        0.324
P1.3     encode  memcpy floor    3838047        20.2        20.5        21.2      0.07            0   0.002        0.002

P1.3     decode  core-ffi          2809     25074.3     25797.9     26730.8     85.99        37216   1.071        1.071
P1.3     decode  gp-parse-seq      3165     23517.2     24090.7     26573.1     80.30        39568   1.000        1.000
P1.3     decode  gp-parse-seg      3545     21332.6     23614.5     25587.8     78.72        39568   0.980        0.980
P1.3     decode  gp-parse          3487     20610.9     24159.2     25631.3     80.53        39568   1.003        1.003
P1.3     decode  managed-parse     3250     12401.9     14556.7     15010.2     48.52        37216   0.604        0.604
